rating,review_title,review_text,reviewer_name,verified_purchase,review_date,helpful_upvotes,helpful_total,review_date_raw,product,sentiment,clean_text,word_count
4.0,Pretty good,Good compact phone and having good camera but facing issu in battery because it's 4000 mah and it's not lasting for whole day. I have to carry power bank.I am sharing sample of photos.. it's light balance is very good.,Swayam Vish,True,2024-11-01,37.0,4.0,1 month ago,Samsung S24,positive,good compact phone good camera facing issu battery mah lasting whole day carry power bank sharing sample photo light balance good,21
4.0,Good quality product,"After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you want a mobile for daily gaming than the battery backup will be lesser.If you want good handy Samsung phone than go for it🙌",Jayasuriya Anbu,True,2024-11-01,127.0,27.0,1 month ago,Samsung S24,positive,using day writing review overall good compact handy phone want beast camera clean battery backup slightly less okay average use want mobile daily gaming battery backup lesser want good handy samsung phone,32
5.0,Awesome,Today received this phone. It's just outstanding.  Battery is good. I m not facing any kind of Heating issue. Camera is far better than I phone. Just shared a photo of my friend in low light.,Arnab Deb,True,2024-11-01,10.0,0.0,1 month ago,Samsung S24,positive,today received phone outstanding battery good facing kind heating issue camera far better phone shared photo friend low light,19
5.0,Mind-blowing purchase,"Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life.",Amit Kumar  Behera,True,2024-11-01,34.0,6.0,1 month ago,Samsung S24,positive,powerful performance excellent display compact size amazing camera making allrounder phone drawback battery life,14
5.0,Brilliant,Just looking like a wow,Raja,True,2024-11-01,64.0,15.0,1 month ago,Samsung S24,positive,looking like wow,3
5.0,Wonderful,"Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24",Pawan Rajput,True,2024-11-01,9.0,0.0,1 month ago,Samsung S24,positive,excellent product worth buy option choose iphone would,8
5.0,Wonderful,Everything is just excellent but only battery is average,Abhishek Maurya,True,2024-11-01,8.0,0.0,1 month ago,Samsung S24,positive,everything excellent battery average,4
5.0,Best in the market!,I got the phone today the behaviour of delivery agent was awesome... for now i can only say good compact phone with awesome camera and processor a bit dissapointed with the battery and heating issue.... will share more info after some months of use,Mayank Shukla,True,2024-11-01,28.0,5.0,2 months ago,Samsung S24,positive,got phone today behaviour delivery agent awesome say good compact phone awesome camera processor bit dissapointed battery heating issue share info month use,23
5.0,Simply awesome,"Camera qulity and build qulity , sound qulity of this phon is oustanding. But normal hitting isshue experiance in this phone",Kiran Patil,True,2024-11-01,48.0,12.0,1 month ago,Samsung S24,positive,camera qulity build qulity sound qulity phon oustanding normal hitting isshue experiance phone,13
5.0,Worth every penny,Hi All. I am writing this review based on my 1 week usage. I bought it in the BBD Sale only. First of all I upgraded from S22 (Base) which i used for more than 1 year but the main problem was battery issue and heating. Did the upgrade was good I will tell you that it was great. I will also compare s24 with previous s22+ Pros* Camera is Great nothing particularly to tell about it. Because even i upgrade from S22 for last several years the camera software is same for samsung.* Processor I...,Niranjan G,True,2024-11-01,8.0,0.0,29 days ago,Samsung S24,positive,writing review based week usage bought bbd sale first upgraded base used year main problem battery issue heating upgrade good tell great also compare previous pro camera great nothing particularly tell even upgrade last several year camera software samsung processor,40
5.0,Wonderful,Totally satisfied product,Bablu Bablu,True,2024-11-01,8.0,0.0,1 month ago,Samsung S24,positive,totally satisfied product,3
5.0,Wonderful,Just wow🤩🤩,Flipkart Customer,True,2024-11-01,8.0,0.0,1 month ago,Samsung S24,positive,wow,1
4.0,Delightful,I feel the phone is getting hot very fastly apart from that camera and performance is good,Shamundeswari  S,True,2024-11-01,13.0,1.0,2 months ago,Samsung S24,positive,feel phone getting hot fastly apart camera performance good,9
5.0,Must buy!,Superb phoneCompact monster 💥 Little power house💥Nice camera😍Top display 🫰Battery back is average 👎😢,SANJU  SANTHOSH,True,2024-11-01,40.0,12.0,1 month ago,Samsung S24,positive,superb phonecompact monster little power house nice camera top display battery back average,13
5.0,Excellent,Battery averageCamera is not excellent  like flagship;and  other all thing is top notch,Radhe Radhe,True,2024-11-01,24.0,5.0,1 month ago,Samsung S24,positive,battery averagecamera excellent like flagship thing top notch,8
4.0,Very Good,"Like others, I was also initially concerned about its smaller battery capacity and slow charging speed before buying it. But one thing I would like to mention for whoever is planning to buy it now (snapdragon version), if you are not heavy gamer, then you can expect easily  backup of one day or even more. Otherwise the phone is good with other aspects like camera, software experience and day2day task performance etc.Charging speed is approx. 1 hour 20 minutes if you starts from 1-2% of ch...",Asutosh Acharya,True,2024-11-01,19.0,3.0,1 month ago,Samsung S24,positive,like others also initially concerned smaller battery capacity slow charging speed buying one thing would like mention whoever planning buy snapdragon version heavy gamer expect easily backup one day even otherwise phone good aspect like camera software experience day day task performance etc charging speed approx hour minute start,49
5.0,Fabulous!,"This phone is a beast! It's super fast, the screen is stunning, and the cameras are top-notch. The new Galaxy AI features are actually very practical. Fits perfectly in the hand and pocket. The battery life is solid for a full day of use. Go for it!",Ninaad Dhuri,True,2024-11-01,47.0,16.0,1 month ago,Samsung S24,positive,phone beast super fast screen stunning camera top notch new galaxy feature actually practical fit perfectly hand pocket battery life solid full day use,24
5.0,Highly recommended,"Best phone under 40k, better than expected, Best time to buy last year flagship phone this BBD. Battery can be concerned for heavy user otherwise it's fine for medium to lite user. Just go for it.",Lalit Parajiya,True,2024-11-01,67.0,26.0,1 month ago,Samsung S24,positive,best phone better expected best time buy last year flagship phone bbd battery concerned heavy user otherwise fine medium lite user,21
5.0,Awesome,"The interface is clean and fast. The Android 16 update is really snappy. The cameras are good, the telephoto camera could have been better, the quality feels like crop of the main camera. The battery life is surprisingly good, I had Xiaomi 11T pro with 5000mAh / 120W charging, I thought I'm downgrading with my choice, but it turns out to be other way around. With my moderate use I clock 2 days easily with this phone, the discharge rate is predictable unlike my previous phone. And, yes, t...",Srikant Patnaik,True,2024-11-01,5.0,0.0,1 month ago,Samsung S24,positive,interface clean fast android update really snappy camera good telephoto camera could better quality feel like crop main camera battery life surprisingly good xiaomi pro mah charging thought downgrading choice turn way around moderate use clock day easily phone discharge rate predictable unlike previous phone yes,46
5.0,Awesome,Perfect 👌,Flipkart Customer,True,2024-11-01,6.0,0.0,1 month ago,Samsung S24,positive,perfect,1
5.0,Terrific,"Many videos i have seen battery problem. Iam not a heavy user or gamer .from 4 days i didnt feel any heavy battery draining issue.I was using old mobile before so i am having habit of using power saving mode , which i continued here worked very amazing . No doubt best buy... camera amazing but low light little noise still best . And coming to ai features it's a beast . Mobile is very smaller than i expected which is very cute and good look. I didnt feel any heating issues and i kept my phone ...",Flipkart Customer,True,2024-11-01,15.0,3.0,1 month ago,Samsung S24,positive,many video seen battery problem iam heavy user gamer day didnt feel heavy battery draining issue using old mobile habit using power saving mode continued worked amazing doubt best buy camera amazing low light little noise still best coming feature beast mobile smaller expected cute good look didnt feel heating issue kept phone,53
5.0,Classy product,"This phone is very awesome all over performance, camera, look, build quality is very good, only samsung should provide more battery capacity with this phone...Overall all is great !",Flipkart Customer,True,2024-11-01,17.0,4.0,2 months ago,Samsung S24,positive,phone awesome performance camera look build quality good samsung provide battery capacity phone overall great,15
4.0,Delightful,One of the Best camera phone .,Gaurav Vyas,True,2024-11-01,6.0,0.0,1 month ago,Samsung S24,positive,one best camera phone,4
5.0,Highly recommended,Very nice phone,Ashish Mahto,True,2024-11-01,9.0,1.0,1 month ago,Samsung S24,positive,nice phone,2
5.0,Simply awesome,Here is the quick review of s24.Camera excellent. Battery backup not good. Display excellent Design excellent. Performance not good because of heating issue,Avirat  Zain,True,2024-11-01,10.0,2.0,1 month ago,Samsung S24,positive,quick review camera excellent battery backup good display excellent design excellent performance good heating issue,15
5.0,Terrific purchase,"i am upgrading after 7 years, and I liked it very much for its compact factor, colour, and design, easy to transfer data via smart switch",Rithik mohanta,True,2024-11-01,14.0,4.0,2 months ago,Samsung S24,positive,upgrading year liked much compact factor colour design easy transfer data via smart switch,14
