"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"","","","","","","",""
"4","Pretty good","Good compact phone and having good camera but facing issu in battery because it's 4000 mah and it's not lasting for whole day. I have to carry power bank.I am sharing sample of photos.. it's light balance is very good.","Swayam Vish","Certified Buyer","1 month ago","37","4"
"4","Good quality product","After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you want a mobile for daily gaming than the battery backup will be lesser.If you want good handy Samsung phone than go for it🙌","Jayasuriya Anbu","Certified Buyer","1 month ago","127","27"
"5","Awesome","Today received this phone. It's just outstanding.  Battery is good. I m not facing any kind of Heating issue. Camera is far better than I phone. Just shared a photo of my friend in low light.","Arnab Deb","Certified Buyer","1 month ago","10","0"
"5","Mind-blowing purchase","Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life.","Amit Kumar  Behera","Certified Buyer","1 month ago","34","6"
"5","Brilliant","Just looking like a wow","Raja","Certified Buyer","1 month ago","64","15"
"5","Wonderful","Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24","Pawan Rajput","Certified Buyer","1 month ago","9","0"
"5","Wonderful","Everything is just excellent but only battery is average","Abhishek Maurya","Certified Buyer","1 month ago","8","0"
"5","Best in the market!","I got the phone today the behaviour of delivery agent was awesome... for now i can only say good compact phone with awesome camera and processor a bit dissapointed with the battery and heating issue.... will share more info after some months of use","Mayank Shukla","Certified Buyer","2 months ago","28","5"
"5","Simply awesome","Camera qulity and build qulity , sound qulity of this phon is oustanding. But normal hitting isshue experiance in this phone","Kiran Patil","Certified Buyer","1 month ago","48","12"
"5","Worth every penny","Hi All. I am writing this review based on my 1 week usage. I bought it in the BBD Sale only. First of all I upgraded from S22 (Base) which i used for more than 1 year but the main problem was battery issue and heating. Did the upgrade was good I will tell you that it was great. I will also compare s24 with previous s22+ Pros* Camera is Great nothing particularly to tell about it. Because even i upgrade from S22 for last several years the camera software is same for samsung.* Processor I...","Niranjan G","Certified Buyer","29 days ago","8","0"
"","","","","","","",""
"5","Wonderful","Totally satisfied product","Bablu Bablu","Certified Buyer","1 month ago","8","0"
"5","Wonderful","Just wow🤩🤩","Flipkart Customer","Certified Buyer","1 month ago","8","0"
"4","Delightful","I feel the phone is getting hot very fastly apart from that camera and performance is good","Shamundeswari  S","Certified Buyer","2 months ago","13","1"
"5","Must buy!","Superb phoneCompact monster 💥 Little power house💥Nice camera😍Top display 🫰Battery back is average 👎😢","SANJU  SANTHOSH","Certified Buyer","1 month ago","40","12"
"5","Excellent","Battery averageCamera is not excellent  like flagship;and  other all thing is top notch","Radhe Radhe","Certified Buyer","1 month ago","24","5"
"4","Very Good","Like others, I was also initially concerned about its smaller battery capacity and slow charging speed before buying it. But one thing I would like to mention for whoever is planning to buy it now (snapdragon version), if you are not heavy gamer, then you can expect easily  backup of one day or even more. Otherwise the phone is good with other aspects like camera, software experience and day2day task performance etc.Charging speed is approx. 1 hour 20 minutes if you starts from 1-2% of ch...","Asutosh Acharya","Certified Buyer","1 month ago","19","3"
"5","Fabulous!","This phone is a beast! It's super fast, the screen is stunning, and the cameras are top-notch. The new Galaxy AI features are actually very practical. Fits perfectly in the hand and pocket. The battery life is solid for a full day of use. Go for it!","Ninaad Dhuri","Certified Buyer","1 month ago","47","16"
"5","Highly recommended","Best phone under 40k, better than expected, Best time to buy last year flagship phone this BBD. Battery can be concerned for heavy user otherwise it's fine for medium to lite user. Just go for it.","Lalit Parajiya","Certified Buyer","1 month ago","67","26"
