"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"","","","","","","",""
"1","Unsatisfactory","I am rating it 1 star because i lost it.","Deepanshu Kaushik","Certified Buyer","29 days ago","1","5"
"1","Utterly Disappointed","The colour of the crome is gone very bad product","samin israr","Certified Buyer","1 month ago","0","0"
"1","Unsatisfactory","Build quality worst","Arif  Khan","Certified Buyer","3 months ago","2","1"
"1","Waste of money!","Wast","Flipkart Customer","Certified Buyer","3 months ago","1","2"
"1","Very poor","Too much expensive","Farhan Ahmad","Certified Buyer","3 months ago","1","1"
"1","Don't waste your money","I am not satisfied this phone hitting and not backup battery and all problem many create this phone","MOHD faiyaz","Certified Buyer","3 months ago","2","2"
"1","Hated it!","I had bought this 11months back and now My front camera has started showing 2-3 green pink lines","Sandeep Thakur","Certified Buyer","3 months ago","3","0"
"1","Did not meet expectations","There's a glitch in my display","Flipkart Customer","Certified Buyer","3 months ago","0","1"
"1","Absolute rubbish!","One of the useless smartphonesThis was my fist time of buying an iphone hoping for a great experience but i am having an awful oneThis phone got heated like anythingDo not waste your money","A N","Certified Buyer","4 months ago","6","2"
"1","Worthless","Camera automatic flicking","Nitesh Kumar","Certified Buyer","4 months ago","1","0"
"","","","","","","",""
"1","Not recommended at all","Battery is very cheap","Adnaan Shaikh","Certified Buyer","5 months ago","2","1"
"1","Hated it!","Some time it is hanging 😒Not for use that much","Flipkart Customer","Certified Buyer","5 months ago","4","1"
"1","Not recommended at all","Poor, Logic board failed just in 6 months, and no support from Apple and the seller.","Sanjai Pathak","Certified Buyer","5 months ago","1","1"
"1","Terrible product","Not even six months passed since i bought the phone already the battery got cooked it bulged out so big that the back matte finish just came out Cant trust these online products anymore Very dissapointed with apple nd Flipkart too 👎","Balaji Sagar","Certified Buyer","5 months ago","3","1"
"1","Not recommended at all","Heating issue","Ganesh K","Certified Buyer","5 months ago","2","0"
"1","Very poor","set button not good","Ramesh dhami","Certified Buyer","5 months ago","0","0"
"1","Horrible","Battery not good","Rakesh  kumar  sharma  Kumar sharma","Certified Buyer","5 months ago","1","0"
"1","Utterly Disappointed","Very bad 😞😞","Rathod Vijay bhai khoda bhai","Certified Buyer","6 months ago","0","0"
"1","Absolute rubbish!","Bad phone","Noor Alam","Certified Buyer","6 months ago","3","2"
"1","Unsatisfactory","Phone heats up so much while charging or gaming. I am afraid one day it will blast. It's my first iphone experience and I did not in my dreams expect that iphones would heat up like that. Can't even touch it without feeling discomfort and I am not exaggerating. (My previous phone is redmi).","Venkatesh Vj","Certified Buyer","7 months ago","12","0"
"","","","","","","",""
"1","Worst experience ever!","Waste of money","madhu sagar","Certified Buyer","8 months ago","2","1"
"1","Don't waste your money","Doesn't support apple intelligence. Battery backup is quite low considering the price.","Rishabh Singh","Certified Buyer","8 months ago","3","0"
"1","Absolute rubbish!","Last few months am facing calling issues","Flipkart Customer","Certified Buyer","8 months ago","0","1"
"1","Don't waste your money","Very disappoint design.","Yash Gangurde","Certified Buyer","9 months ago","1","4"
"1","Utterly Disappointed","Very slow hanging","Megha Ahir","Certified Buyer","9 months ago","7","2"
"1","Worst experience ever!","Hang","Kunwar Khatri","Certified Buyer","9 months ago","0","0"
"1","Useless product","No adaptor for charging 💩💩","Vikas  Gadagi","Certified Buyer","9 months ago","6","3"
"1","Not recommended at all","Not that great, too expensive.","Pavan Chary","Certified Buyer","9 months ago","2","2"
