"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"","","","","","","",""
"1","Unsatisfactory","NEVER EVER BUY FROM FLIPKART.In this day and age, when we have a genuine reason as to why we should return a product, the same is rejected stating it is not in the policy. I have tried 3-4 times and the customer service is pathetic. No matter what happens please buy your mobiles only from AZ or the direct online store. FLIPKART is very unresponsive as a middleman and it is like talking to a wall.In other countries, people return the phone after using and get the preferred one, even after ...","Shanthini BS","Certified Buyer","Oct, 2024","212","23"
"1","Hated it!","Worst phone for pubg please don't buy.","Mangbiang Kharmawlong","Certified Buyer","9 days ago","1","5"
"1","Very poor","Bad","Danish  Khan","Certified Buyer","14 days ago","0","0"
"1","Horrible","Image is only for show. When you buy this, it will have an Exynos processor instead of a Snapdragon. I tried to return it, but it was not possible. The phone is good, but it does not have the Snapdragon processor integrated.","Anshul Chauhan","Certified Buyer","15 days ago","1","0"
"1","Hated it!","Battery backup is so tinny it is running only 3-4 hrs it is so terrible 😫","Flipkart Customer","Certified Buyer","18 days ago","3","1"
"1","Worst experience ever!","No this is not nice quality is low","Karmjeet Karmjeet","Certified Buyer","19 days ago","0","0"
"1","Unsatisfactory","All good but not for good battery 🔋","Dev Mandal","Certified Buyer","19 days ago","2","0"
"1","Don't waste your money","Bettery back not working properly","Nihal Dubey","Certified Buyer","20 days ago","0","0"
"1","Unsatisfactory","Baddest","Paresh Biswas","Certified Buyer","21 days ago","1","0"
"1","Worst experience ever!","Bad","Shaik Karimulla","Certified Buyer","21 days ago","0","0"
"","","","","","","",""
"1","Waste of money!","Camera when its night it have line when u shake i don't like","Flipkart Customer","Certified Buyer","22 days ago","1","0"
"1","Absolute rubbish!","Overheating and battery problems","Mohammad  Kadim","Certified Buyer","23 days ago","4","2"
"1","Utterly Disappointed","Camera quality is not as expected.","RANJEET  Bandal","Certified Buyer","23 days ago","2","0"
"1","Horrible","Usb c charging port don't working properly, One side of type c port is dead. Battery is not pathetic. Don't recommend this pho","aman sharma","Certified Buyer","24 days ago","2","1"
"1","Utterly Disappointed","Heating issues.","Mahesh N","Certified Buyer","24 days ago","4","0"
"1","Utterly Disappointed","Not worth this mobile this budget","Uppala Chandra Sekhar","Certified Buyer","24 days ago","0","0"
"1","Don't waste your money","Facing heating since day 1","Swarup Birelliwar","Certified Buyer","25 days ago","2","0"
"1","Did not meet expectations","Battery is worst. It is draining too fast At night if battery is 30% morning the phone is switched off. Not happy with the battery at all And when given to service centre in warranty period which is till 5th nov i received the phone on 5th nov they said the phone is activated on 26th oct I had ordered from flipkart. So flipkart is also scamming with the clients. So need a solution to this flipkart. Don't buy this product and don't buy from flipkart","Dipsy Shah","Certified Buyer","25 days ago","2","2"
"1","Worst experience ever!","Heating issue","JAGDEEP SINGH","Certified Buyer","25 days ago","2","0"
"1","Did not meet expectations","Camera is not good... Samsung has to work on it... over all mobile is good","Adv R L Lakole","Certified Buyer","26 days ago","0","0"
"","","","","","","",""
"1","Unsatisfactory","Worst phone , too much heat","Satya Venkatesh","Certified Buyer","26 days ago","1","0"
"1","Unsatisfactory","Not working within 20 days","Kishan thumbar","Certified Buyer","27 days ago","0","1"
"1","Unsatisfactory","Camera quality is even way below average. There is some issues with it.","Mayur Sanghani","Certified Buyer","27 days ago","0","0"
"1","Absolute rubbish!","My battery is draining super fast","Flipkart Customer","Certified Buyer","28 days ago","0","2"
"1","Waste of money!","One of the worst samsung, I ever used i am we read with this s24 the battery life sucks theThe charging sucks. Then, the camera sucksUi sucks operating system sucks the chip set, snap dragon also sucks. The phone is heating.I can't describe how this phone get me traumatised. When I hear the name SamsungThe phone Sometimes stack scrolling through Instagram and YouTube makes lack and buffer. I why this product is like this","Flipkart Customer","Certified Buyer","28 days ago","2","11"
"1","Very poor","Very bad experience. Received copy cable in the box. It is very thin and rigid.","Himanshu Chaturvedi","Certified Buyer","28 days ago","0","1"
"1","Don't waste your money","A phone with the WORST PERFORMANCE in  LOW LIGHT PHOTOGRAPHY in all the 4 cameras in it,  in this price range. In low light, the cameras capture only NOISE not photo.","Abhishek Majumdar","Certified Buyer","28 days ago","3","4"
"1","Horrible","Heating issue","Animesh Roy","Certified Buyer","29 days ago","2","0"
"1","Useless product","Heating issue is 10x than my 17k old phn","Ayesha Nk","Certified Buyer","29 days ago","3","1"
"1","Terrible product","Issues with this device 1. Battery drain 2. Heating while using normal apps,  using camera  , in gaming it becomes a frying pan , in sunlight it becomes like a lava ...","Vishal  Saijwani","Certified Buyer","30 days ago","4","0"
"","","","","","","",""
"1","Not recommended at all","Bad quality","Flipkart Customer","Certified Buyer","30 days ago","1","0"
"1","Very poor","Very bad 😞😞😞","Flipkart Customer","Certified Buyer","1 month ago","0","1"
"1","Not recommended at all","Worst flipkart","HAZARATH  REDDY","Certified Buyer","1 month ago","2","1"
"1","Absolute rubbish!","The phone screen got black and not operating suddenly poor product quality don't buy this product....very poor","Flipkart Customer","Certified Buyer","1 month ago","3","2"
"1","Unsatisfactory","I didn't insert the sim card into the sim slot but it shows full network bar without any sim card inserted","Naresh Selvam","Certified Buyer","1 month ago","3","16"
"1","Worst experience ever!","The heats up a lot.","Dipanjan Pal","Certified Buyer","1 month ago","4","0"
"1","Worst experience ever!","Earphone plug not working new mobileWhat should I do","Flipkart Customer","Certified Buyer","1 month ago","2","5"
"1","Hated it!","Not worthful","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"1","Did not meet expectations","Its heating up like he'll.","Vishwaksena Maganti","Certified Buyer","1 month ago","2","0"
"1","Useless product","Very small size of screen.No anybody buy it","Mahesh Bhanawat","Certified Buyer","1 month ago","2","13"
"","","","","","","",""
"1","Terrible product","Never buy on Flipkart","Ramanuj  Kumar","Certified Buyer","1 month ago","2","1"
"1","Did not meet expectations","Camera disappointed 😞 more compare to one","gpraveen kumar","Certified Buyer","1 month ago","1","2"
"1","Waste of money!","After 3 weeks of usage ... phone is heating while using the camera.Finger print sensor not upto the mark...Pathetic  performane  even with wifi...other lower version phones working much betterOverall it is good buy for a flagship phoneI prefer don't buy","Kishore Kurmala","Certified Buyer","1 month ago","0","1"
"1","Hated it!","Worst phone and Worst camera","Ramanji Vempalli","Certified Buyer","1 month ago","1","2"
"1","Not recommended at all","charging port big prob newly buy waist money","Dinesh mhatre","Certified Buyer","1 month ago","0","1"
"1","Worthless","This phone is really great, but the charging cable is so bad. When I try to charge my phone, it's not working properly. Sometimes it starts to charge, but after some time, it disconnects automatically.🥲","Utpal  Das","Certified Buyer","1 month ago","0","0"
"1","Very poor","Very bad camera","Shailendra Singh","Certified Buyer","1 month ago","0","3"
"1","Very poor","Too much heating issue worst battery maximum we can use 8to 9hrs","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"1","Terrible product","Phone getting restart","Hrithik Dahiya","Certified Buyer","1 month ago","0","0"
"1","Not recommended at all","Heating issues, please don't buy this phone. Worst phone.","Govardhan Jaya","Certified Buyer","1 month ago","7","11"
"","","","","","","",""
"1","Don't waste your money","Using mobile phone will be heat","Narender REDDY Veluri","Certified Buyer","1 month ago","2","1"
"1","Terrible product","Battery only last for 2 and half hours","Hmmmm Ok","Certified Buyer","1 month ago","2","0"
"1","Hated it!","Heating problem","SHER SINGH","Certified Buyer","1 month ago","1","0"
"1","Hated it!","Camera is good but having lot kf heating issue and main is bettery, if i am traveling and using camera , I need to charge phone 3 times a day , bettery performance is pathatic, did not recommend","ABHISHEK SINGH SENGAR","Certified Buyer","1 month ago","4","0"
"1","Not recommended at all","Poor battery","Flipkart Customer","Certified Buyer","1 month ago","0","1"
"1","Worst experience ever!","I didn't get good phone","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"1","Unsatisfactory","Bad camera","Abhinav Gothwal","Certified Buyer","1 month ago","4","3"
"1","Very poor","Very low pixel clarity of taken photos,30x zoom is there but clarity is not there","gaddam g","Certified Buyer","1 month ago","6","5"
"1","Absolute rubbish!","Not fully satisfied","Chetan Jain","Certified Buyer","1 month ago","1","0"
"1","Don't waste your money","Donot buy from it flipkart , phone have wifi connectivity issue , overheating issue and their so called 10 day replacement policy , they will never replace your phone,i highly recommend donot go for discount I have s23 already which i buy from samsung store and it have better display than s24 from flipkart, worst experience","Flipkart Customer","Certified Buyer","1 month ago","4","0"
"","","","","","","",""
"1","Don't waste your money","Waste phone","Vishal Vishnu","Certified Buyer","1 month ago","1","0"
"1","Waste of money!","The battery is draining very quickly in 4 to 5 hours.","Flipkart Customer","Certified Buyer","1 month ago","3","0"
"1","Don't waste your money","Backpanel is coming out in just 5","Dhruval Shah","Certified Buyer","1 month ago","0","0"
"1","Worst experience ever!","Mobile is getting heat very soon","Ishan Jaiswal","Certified Buyer","1 month ago","2","0"
"1","Hated it!","Battery issue and camera not so good","Nilesh Ingle","Certified Buyer","1 month ago","0","1"
"1","Not recommended at all","Poor","Shilpy Sharma","Certified Buyer","1 month ago","0","1"
"1","Utterly Disappointed","I disappointed only Battery performance","Jana Aa","Certified Buyer","1 month ago","0","0"
"1","Not recommended at all","The phone having over heating issue and battery performance is not good","Ayush Kumar","Certified Buyer","1 month ago","2","0"
"1","Don't waste your money","Camera is not good as hyped, takes blurry, shady, blacky photos. Battery discharges quickly. It's a wrong choice.","Gopalkrishna R Kadolkar","Certified Buyer","1 month ago","6","3"
"1","Don't waste your money","Small Chinks between camera lens and back panel","Shoaib Saifi","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"1","Utterly Disappointed","Waste of money don't buy","Flipkart Customer","Certified Buyer","1 month ago","3","8"
"1","Utterly Disappointed","heating issues","Chandan Kumar","Certified Buyer","1 month ago","4","0"
"1","Unsatisfactory","Get defective piece and its litrally worst phone ever","kaushal  sharma","Certified Buyer","1 month ago","1","0"
"1","Not recommended at all","Battery performance very low,If u r a working person then don't buy this phone,u hv 2 carry charger everywhere, it's disgusting 😑.","Sungida siddika Rahaman","Certified Buyer","1 month ago","1","0"
"1","Very poor","Heating issues","RAja  Velampalli","Certified Buyer","1 month ago","2","0"
"1","Waste of money!","I have been overcharged for my phone.","Rahul Kaushik","Certified Buyer","1 month ago","0","0"
"1","Not recommended at all","Device heat very badly and battery draina very quickly. Just in 2 hours came drom from 60 to 10 %","Shiva  Regalla","Certified Buyer","1 month ago","2","0"
"1","Waste of money!","build quality is very bad, phone dropped from 3ft and it broke back glass. gorilla class victus 2 WHAT A JOKE!!!","punit kumar","Certified Buyer","1 month ago","4","0"
"1","Worthless","Heating issue","Bhawna Rautela","Certified Buyer","1 month ago","0","0"
"1","Did not meet expectations","Heats up so fast , sound quality is like cheap 10k inr phone like chinese brands","Arif  hussain","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"1","Waste of money!","Product having Overheat problem","Masood Alam","Certified Buyer","1 month ago","2","0"
"1","Terrible product","Dissapointed with size and camera quality...even heats with normal operations like taking photos ans surfing on phone...screen size also too small....","Kalpesh Panchal","Certified Buyer","1 month ago","0","6"
"1","Very poor","It gets too hot and iphone 16 even 15 is better than this phoneAnd battery life is too bad","Sannat Chaudhry","Certified Buyer","1 month ago","2","2"
"1","Very poor","Too much heating Poor battery","Rohit Vidhate","Certified Buyer","1 month ago","1","0"
"1","Hated it!","Prpduct i would say 4 ⭐️, little heating and battery issue. But the reaspn for one star is pathetic service from seller as well as flipkart aka scamcart","Darshil Thummar","Certified Buyer","1 month ago","0","0"
"1","Hated it!","Fingerprint not working","Praveenkumar Patta","Certified Buyer","1 month ago","1","1"
"1","Don't waste your money","Very badVery hottt","Dr.jayvirsinh Jadeja","Certified Buyer","1 month ago","0","0"
"1","Worst experience ever!","Heating issue","Vikranth Ponnam","Certified Buyer","1 month ago","0","1"
"1","Waste of money!","Back color remove","Ritik Raina","Certified Buyer","1 month ago","0","0"
"1","Don't waste your money","Mobile already 13 days activated","Aditya  Vaishnav","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"1","Don't waste your money","The major issue is heating issue, whenever I take photo the phone turn into a heater, and when u use the phone phone morethan 1hr, again the become to heat, and battery backup is very poor.","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"1","Absolute rubbish!","Camera quality very bad","Hh H","Certified Buyer","1 month ago","0","0"
"1","Worst experience ever!","Never buy from Flipkart.","N K","Certified Buyer","1 month ago","0","0"
